Order_ID,Order_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Year,Month,Profit_Margin
ORD-2020-0000,2020-01-01 00:00:00,Second Class,Consumer,South,Technology,Machines,714.65,2,0.2,109.43,2020,1,15.31
ORD-2020-0001,2020-01-01 08:00:00,Second Class,Corporate,West,Furniture,Bookcases,939.76,12,0.2,63.55,2020,1,6.76
ORD-2020-0002,2020-01-01 16:00:00,Same Day,Corporate,West,Technology,Machines,1106.27,8,0.2,162.14,2020,1,14.66
ORD-2020-0003,2020-01-02 00:00:00,Standard Class,Home Office,Central,Technology,Machines,1285.48,4,0.0,247.69,2020,1,19.27
ORD-2020-0004,2020-01-02 08:00:00,First Class,Corporate,Central,Furniture,Furnishings,957.06,13,0.0,99.2,2020,1,10.37
ORD-2020-0005,2020-01-02 16:00:00,Standard Class,Corporate,South,Furniture,Chairs,922.12,9,0.2,70.32,2020,1,7.63
ORD-2020-0006,2020-01-03 00:00:00,Same Day,Corporate,South,Technology,Copiers,830.86,4,0.5,52.05,2020,1,6.26
ORD-2020-0007,2020-01-03 08:00:00,Standard Class,Corporate,East,Office Supplies,Paper,184.86,8,0.0,54.42,2020,1,29.44
ORD-2020-0008,2020-01-03 16:00:00,Same Day,Home Office,Central,Technology,Copiers,1423.74,9,0.0,295.39,2020,1,20.75
ORD-2020-0009,2020-01-04 00:00:00,Second Class,Corporate,West,Technology,Copiers,466.99,13,0.1,78.4,2020,1,16.79
ORD-2020-0010,2020-01-04 08:00:00,First Class,Corporate,West,Technology,Machines,227.09,9,0.5,7.9,2020,1,3.48
ORD-2020-0011,2020-01-04 16:00:00,Second Class,Consumer,East,Technology,Copiers,1156.36,10,0.0,228.52,2020,1,19.76
ORD-2020-0012,2020-01-05 00:00:00,Standard Class,Home Office,Central,Furniture,Bookcases,196.53,4,0.1,19.37,2020,1,9.86
ORD-2020-0013,2020-01-05 08:00:00,Second Class,Consumer,West,Technology,Accessories,716.47,1,0.3,60.72,2020,1,8.47
ORD-2020-0014,2020-01-05 16:00:00,First Class,Consumer,East,Office Supplies,Binders,82.07,3,0.0,33.84,2020,1,41.23
ORD-2020-0015,2020-01-06 00:00:00,Second Class,Home Office,East,Furniture,Tables,546.02,9,0.0,55.04,2020,1,10.08
ORD-2020-0016,2020-01-06 08:00:00,First Class,Corporate,West,Office Supplies,Storage,156.13,4,0.2,23.17,2020,1,14.84
ORD-2020-0017,2020-01-06 16:00:00,First Class,Consumer,West,Office Supplies,Binders,136.95,5,0.4,-11.6,2020,1,-8.47
ORD-2020-0018,2020-01-07 00:00:00,Second Class,Home Office,South,Office Supplies,Paper,54.48,7,0.0,13.25,2020,1,24.32
ORD-2020-0019,2020-01-07 08:00:00,Same Day,Corporate,Central,Office Supplies,Storage,132.16,5,0.1,26.1,2020,1,19.75
ORD-2020-0020,2020-01-07 16:00:00,Standard Class,Home Office,South,Furniture,Furnishings,974.28,4,0.1,73.84,2020,1,7.58
ORD-2020-0021,2020-01-08 00:00:00,Same Day,Consumer,East,Furniture,Tables,254.26,2,0.1,14.88,2020,1,5.85
ORD-2020-0022,2020-01-08 08:00:00,Same Day,Corporate,West,Office Supplies,Storage,163.92,2,0.2,28.42,2020,1,17.34
ORD-2020-0023,2020-01-08 16:00:00,Second Class,Corporate,South,Office Supplies,Fasteners,100.4,13,0.1,15.45,2020,1,15.39
ORD-2020-0024,2020-01-09 00:00:00,Standard Class,Home Office,East,Furniture,Furnishings,469.89,13,0.1,45.66,2020,1,9.72
ORD-2020-0025,2020-01-09 08:00:00,Standard Class,Corporate,Central,Furniture,Chairs,1059.72,4,0.1,82.59,2020,1,7.79
ORD-2020-0026,2020-01-09 16:00:00,Same Day,Consumer,West,Furniture,Tables,360.77,10,0.1,32.21,2020,1,8.93
ORD-2020-0027,2020-01-10 00:00:00,Second Class,Consumer,South,Technology,Accessories,1205.81,13,0.1,216.79,2020,1,17.98
ORD-2020-0028,2020-01-10 08:00:00,Standard Class,Consumer,Central,Technology,Accessories,1072.51,10,0.3,117.61,2020,1,10.97
ORD-2020-0029,2020-01-10 16:00:00,Same Day,Home Office,South,Technology,Copiers,361.78,13,0.0,75.91,2020,1,20.98
ORD-2020-0030,2020-01-11 00:00:00,Standard Class,Corporate,East,Office Supplies,Storage,121.85,9,0.3,19.68,2020,1,16.15
ORD-2020-0031,2020-01-11 08:00:00,Second Class,Corporate,Central,Technology,Copiers,1209.13,8,0.3,133.08,2020,1,11.01
ORD-2020-0032,2020-01-11 16:00:00,Second Class,Corporate,South,Office Supplies,Binders,64.84,3,0.0,15.54,2020,1,23.97
ORD-2020-0033,2020-01-12 00:00:00,Second Class,Consumer,Central,Office Supplies,Art,197.32,14,0.1,36.22,2020,1,18.36
ORD-2020-0034,2020-01-12 08:00:00,Standard Class,Corporate,East,Technology,Phones,1072.95,9,0.1,183.91,2020,1,17.14
ORD-2020-0035,2020-01-12 16:00:00,First Class,Consumer,Central,Office Supplies,Art,163.32,14,0.0,38.0,2020,1,23.27
ORD-2020-0036,2020-01-13 00:00:00,Standard Class,Corporate,South,Technology,Machines,1097.47,5,0.1,202.03,2020,1,18.41
ORD-2020-0037,2020-01-13 08:00:00,First Class,Consumer,East,Technology,Phones,748.25,11,0.0,157.76,2020,1,21.08
ORD-2020-0038,2020-01-13 16:00:00,Second Class,Corporate,West,Furniture,Tables,1135.2,3,0.0,98.99,2020,1,8.72
ORD-2020-0039,2020-01-14 00:00:00,Same Day,Home Office,South,Technology,Accessories,1204.72,5,0.3,118.55,2020,1,9.84
ORD-2020-0040,2020-01-14 08:00:00,First Class,Home Office,South,Furniture,Furnishings,825.3,13,0.0,81.23,2020,1,9.84
ORD-2020-0041,2020-01-14 16:00:00,Second Class,Consumer,East,Technology,Accessories,1032.59,10,0.3,109.63,2020,1,10.62
ORD-2020-0042,2020-01-15 00:00:00,Second Class,Consumer,East,Technology,Phones,1096.55,13,0.1,184.58,2020,1,16.83
ORD-2020-0043,2020-01-15 08:00:00,First Class,Corporate,West,Furniture,Tables,479.08,4,0.3,32.86,2020,1,6.86
